                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88351,                 1.7017,                 1.2623,                 1.0701,                0.94444,                0.93231,                0.97148,                0.78495,                0.94289,                0.92827,                0.96616,                0.67216,                0.65556,                 1.0742,                 0.8603,                0.98691,              0.0033273,              0.0033273,              0.0033273
                      2,                0.81085,                 1.4052,                0.77471,                 1.0238,                0.96277,                 0.9649,                0.98404,                 0.8055,                0.95649,                0.95781,                0.97602,                0.66128,                0.62801,                 1.1051,                0.67021,                0.95871,              0.0066475,              0.0066475,              0.0066475
                      3,                0.83922,                 1.3986,                0.72202,                 1.0354,                 0.9638,                0.97533,                0.98686,                0.79811,                 0.9643,                0.97082,                0.98487,                0.70003,                0.65009,                  0.981,                0.62639,                0.96868,              0.0099544,              0.0099544,              0.0099544
                      4,                0.84973,                 1.4091,                0.68992,                 1.0501,                0.97106,                0.97592,                0.98498,                0.81262,                0.96391,                0.96874,                0.97815,                0.70716,                0.62938,                0.97439,                0.50381,                0.96052,              0.0099406,              0.0099406,              0.0099406
                      5,                0.81738,                 1.3348,                0.62772,                 1.0367,                0.97206,                0.98016,                0.98603,                0.82413,                0.96894,                0.97675,                0.98334,                0.72204,                0.60678,                0.90313,                0.46799,                 0.9529,              0.0099208,              0.0099208,              0.0099208
                      6,                0.79422,                 1.2912,                0.59229,                 1.0264,                0.97619,                 0.9828,                0.98753,                0.83813,                0.97198,                0.97953,                0.98516,                0.73494,                0.58794,                0.86186,                0.43271,                0.94511,               0.009901,               0.009901,               0.009901
                      7,                0.77184,                 1.2502,                 0.5636,                  1.015,                0.97751,                0.98315,                0.98861,                0.84789,                0.97371,                0.98213,                0.98717,                0.75292,                0.56669,                0.83128,                0.40872,                0.93108,              0.0098812,              0.0098812,              0.0098812
                      8,                0.75872,                 1.2414,                0.54808,                 1.0145,                0.97761,                0.97992,                0.98822,                0.84896,                0.97572,                0.97899,                0.98721,                0.75237,                0.55171,                0.84532,                0.39977,                0.93246,              0.0098614,              0.0098614,              0.0098614
                      9,                0.74394,                 1.2087,                0.53229,                 1.0073,                0.96717,                0.96086,                0.98367,                0.82572,                0.96451,                0.95639,                0.97845,                0.72097,                0.62633,                0.97965,                0.43141,                0.97474,              0.0098416,              0.0098416,              0.0098416
                     10,                0.73114,                 1.1783,                0.51593,                 1.0014,                0.98114,                0.98608,                 0.9881,                0.86392,                 0.9782,                0.98582,                0.98709,                0.77611,                0.52021,                0.74278,                0.36358,                0.91281,              0.0098218,              0.0098218,              0.0098218
                     11,                0.71722,                 1.1559,                 0.5031,                0.99591,                0.98446,                0.98944,                 0.9889,                0.86497,                0.98388,                0.98878,                0.98884,                 0.7764,                0.51513,                0.72973,                0.35289,                0.90801,               0.009802,               0.009802,               0.009802
                     12,                 0.7063,                 1.1395,                0.49406,                0.99128,                0.98523,                0.98809,                0.98912,                0.87164,                0.98407,                0.98695,                0.98882,                0.78593,                  0.496,                0.70795,                0.33917,                0.90269,              0.0097822,              0.0097822,              0.0097822
                     13,                    0.7,                 1.1414,                0.48793,                0.98927,                0.98736,                0.98846,                0.98868,                0.87537,                0.98521,                0.98668,                0.98864,                0.78541,                0.49351,                0.71575,                0.33748,                0.89952,              0.0097624,              0.0097624,              0.0097624
                     14,                0.69428,                 1.1239,                 0.4816,                0.98587,                0.98501,                0.98941,                0.98745,                0.87341,                0.98456,                0.98788,                0.98663,                0.79256,                0.49317,                0.68432,                0.34019,                0.89921,              0.0097426,              0.0097426,              0.0097426
                     15,                 0.6967,                 1.1348,                0.48344,                0.99022,                0.98635,                0.99183,                0.98913,                0.87887,                0.98501,                0.99075,                0.98913,                0.79927,                0.48261,                0.68338,                0.32847,                0.89361,              0.0097228,              0.0097228,              0.0097228
                     16,                0.68446,                 1.1088,                0.47395,                0.98287,                0.98498,                0.99093,                0.98823,                0.87155,                0.98415,                0.99012,                0.98837,                0.78961,                0.49557,                0.69254,                 0.3353,                0.90094,               0.009703,               0.009703,               0.009703
                     17,                0.68248,                 1.0957,                 0.4669,                0.98113,                0.98572,                0.99128,                 0.9883,                0.88046,                0.98465,                0.99048,                0.98802,                0.79642,                0.47853,                0.68205,                0.32436,                0.89503,              0.0096832,              0.0096832,              0.0096832
                     18,                0.67201,                 1.0874,                0.46069,                0.97447,                0.98661,                0.99191,                0.98865,                0.88555,                0.98652,                0.99156,                0.98868,                0.80815,                0.46897,                0.64705,                0.31762,                0.88871,              0.0096634,              0.0096634,              0.0096634
                     19,                0.67548,                 1.0948,                0.46139,                0.97834,                0.98536,                0.99081,                0.98963,                0.88708,                  0.985,                0.99048,                0.98943,                0.80437,                0.47066,                0.65443,                0.32065,                  0.891,              0.0096436,              0.0096436,              0.0096436
                     20,                0.66722,                   1.08,                0.45772,                0.97343,                0.98404,                0.99104,                0.98807,                0.88549,                0.98468,                0.98941,                0.98811,                 0.8048,                0.45976,                0.64446,                0.31447,                0.88484,              0.0096238,              0.0096238,              0.0096238
                     21,                0.66422,                 1.0772,                0.45438,                0.97387,                0.98676,                0.99047,                0.98905,                 0.8897,                0.98569,                0.98934,                0.98837,                 0.8104,                0.46316,                 0.6454,                0.30908,                 0.8841,               0.009604,               0.009604,               0.009604
                     22,                0.65752,                 1.0554,                0.44626,                0.96842,                0.98738,                 0.9921,                0.98877,                0.89293,                 0.9868,                0.99039,                0.98831,                0.81642,                0.45025,                0.62828,                0.30339,                0.88017,              0.0095842,              0.0095842,              0.0095842
                     23,                0.65333,                 1.0416,                 0.4411,                0.96642,                0.98732,                0.99242,                0.98848,                0.89469,                0.98651,                0.99152,                 0.9883,                0.81759,                0.45334,                0.61741,                0.29842,                0.88113,              0.0095644,              0.0095644,              0.0095644
                     24,                0.64585,                 1.0375,                0.43974,                  0.965,                0.98547,                0.99264,                0.98774,                0.89351,                0.98474,                 0.9921,                0.98749,                0.81085,                0.44349,                0.62374,                  0.302,                0.87639,              0.0095446,              0.0095446,              0.0095446
                     25,                0.64446,                   1.03,                0.43513,                0.96304,                0.98749,                  0.992,                0.98852,                0.89374,                0.98661,                0.99193,                0.98831,                0.81622,                0.44141,                 0.6124,                0.29586,                0.87506,              0.0095248,              0.0095248,              0.0095248
                     26,                0.63686,                 1.0226,                0.43367,                0.96063,                 0.9874,                0.99206,                0.98857,                0.89562,                0.98721,                0.99237,                0.98854,                0.82106,                0.44801,                0.60978,                0.29515,                0.87433,               0.009505,               0.009505,               0.009505
