                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87384,                 1.6818,                  1.454,                 1.0551,                0.95016,                0.95336,                0.98258,                0.78442,                0.93807,                0.93604,                0.95929,                 0.6189,                0.63852,                 1.0917,                0.93583,                0.97777,              0.0033192,              0.0033192,              0.0033192
                      2,                0.79668,                   1.32,                0.83186,                0.99969,                0.95354,                0.95045,                0.98466,                0.78398,                0.95122,                0.94364,                0.97742,                0.65801,                0.66064,                 1.0614,                0.85278,                0.99307,              0.0066306,              0.0066306,              0.0066306
                      3,                0.82836,                 1.3459,                0.78352,                 1.0203,                0.95199,                0.94753,                0.98342,                 0.7507,                0.94383,                0.94034,                0.97022,                0.62878,                0.75224,                 1.1654,                0.76764,                 1.0383,                0.00992,                0.00992,                0.00992
                      4,                0.85106,                 1.3386,                0.74209,                 1.0306,                0.92765,                0.90693,                0.96107,                0.73365,                0.91612,                 0.8872,                0.93591,                 0.5862,                0.78722,                 1.3794,                0.83717,                 1.0855,               0.009901,               0.009901,               0.009901
                      5,                0.83557,                 1.3033,                0.67774,                 1.0269,                 0.9695,                0.96992,                0.99111,                0.79328,                0.96725,                0.95855,                0.98346,                0.66745,                0.66269,                 1.0271,                0.58164,                 1.0123,               0.009868,               0.009868,               0.009868
                      6,                0.81096,                 1.2561,                0.63924,                 1.0181,                0.96944,                0.96969,                0.99014,                0.80374,                0.96923,                0.96871,                0.98817,                0.68589,                0.66747,                 1.0144,                0.55673,                 1.0153,               0.009835,               0.009835,               0.009835
                      7,                0.78119,                 1.1988,                0.60058,                 1.0092,                0.94748,                0.92559,                0.97018,                 0.7713,                0.94539,                0.90829,                0.95322,                0.61069,                0.70769,                 1.2723,                0.58153,                 1.0389,               0.009802,               0.009802,               0.009802
                      8,                0.77909,                 1.1959,                0.58779,                 1.0082,                0.97712,                0.97934,                0.99247,                0.82362,                0.97499,                 0.9772,                0.99139,                0.71362,                0.60499,                0.93038,                0.47516,                0.97519,               0.009769,               0.009769,               0.009769
                      9,                0.76009,                 1.1602,                0.56545,                 1.0012,                0.97243,                0.97357,                0.99091,                0.81843,                0.96952,                0.97066,                0.98822,                0.68962,                0.60472,                 0.9256,                0.46427,                0.97532,               0.009736,               0.009736,               0.009736
                     10,                0.74756,                 1.1441,                0.54411,                0.99391,                0.97833,                0.98134,                0.99319,                0.83257,                0.97489,                0.97339,                0.98928,                0.72002,                 0.5935,                0.88575,                0.43588,                0.96403,               0.009703,               0.009703,               0.009703
                     11,                0.73377,                 1.1367,                0.54118,                0.99853,                0.97775,                0.98221,                0.99239,                0.83627,                0.97435,                0.98179,                0.99202,                0.72854,                0.57058,                 0.8459,                0.41529,                0.95387,                0.00967,                0.00967,                0.00967
                     12,                0.72864,                 1.1263,                0.52702,                 0.9925,                0.97568,                0.98057,                0.99261,                0.84787,                0.97132,                0.96871,                0.98433,                0.73152,                0.54716,                0.85093,                0.40413,                0.93574,               0.009637,               0.009637,               0.009637
                     13,                0.72347,                 1.1126,                0.52002,                0.98908,                0.98345,                0.98465,                0.99359,                0.85044,                0.98069,                0.97921,                0.99195,                0.72526,                0.56237,                0.89227,                0.41092,                0.95526,               0.009604,               0.009604,               0.009604
                     14,                0.71689,                 1.1003,                0.51351,                0.98443,                0.98157,                0.98717,                0.99348,                0.85459,                0.97871,                0.98329,                0.99244,                0.74117,                0.53926,                 0.8099,                0.39326,                0.94514,               0.009571,               0.009571,               0.009571
                     15,                0.70243,                 1.0691,                0.49645,                 0.9795,                0.98264,                 0.9862,                0.99375,                0.85828,                 0.9809,                0.98445,                  0.993,                 0.7553,                0.53611,                0.76809,                0.37985,                0.94391,               0.009538,               0.009538,               0.009538
                     16,                0.69675,                 1.0596,                 0.4922,                0.97479,                 0.9841,                0.98232,                0.99396,                0.86309,                0.98147,                0.97799,                0.99212,                 0.7586,                0.51663,                0.78917,                0.36999,                0.92668,               0.009505,               0.009505,               0.009505
                     17,                0.69573,                 1.0562,                0.48419,                0.97745,                0.98781,                 0.9864,                0.99398,                0.86638,                 0.9854,                0.98445,                0.99324,                0.75528,                0.50925,                0.77871,                0.36119,                 0.9242,               0.009472,               0.009472,               0.009472
                     18,                0.68811,                 1.0502,                 0.4746,                0.97196,                0.98713,                0.98351,                0.99385,                 0.8705,                0.98713,                0.98351,                0.99388,                0.76818,                 0.4986,                0.73152,                0.35387,                 0.9263,               0.009439,               0.009439,               0.009439
                     19,                0.67965,                 1.0261,                0.47656,                0.97028,                0.98721,                0.98581,                0.99425,                0.87625,                0.98623,                0.98484,                0.99366,                0.77223,                0.48531,                0.73599,                0.34614,                0.90947,               0.009406,               0.009406,               0.009406
                     20,                0.67292,                  1.027,                0.46636,                0.96528,                 0.9858,                0.98457,                0.99349,                0.87136,                0.98614,                0.98157,                0.99297,                0.76273,                0.50438,                 0.7596,                0.35913,                  0.926,               0.009373,               0.009373,               0.009373
                     21,                0.66998,                 1.0126,                0.46471,                0.96745,                0.98371,                 0.9857,                0.99383,                0.87889,                0.98338,                0.98348,                0.99263,                 0.7811,                0.49112,                0.71037,                0.34145,                0.91779,                0.00934,                0.00934,                0.00934
                     22,                0.65745,                0.98806,                0.45739,                 0.9602,                0.98985,                 0.9897,                0.99438,                0.87881,                0.98752,                0.98737,                0.99388,                0.78326,                0.50184,                0.72592,                0.34824,                 0.9271,               0.009307,               0.009307,               0.009307
                     23,                0.65984,                 1.0027,                0.45564,                  0.962,                0.98533,                0.98717,                0.99407,                0.87421,                0.98555,                0.98329,                0.99317,                0.77373,                0.49215,                0.71332,                0.35172,                0.92295,               0.009274,               0.009274,               0.009274
                     24,                0.65085,                0.99738,                0.44904,                0.95887,                0.98514,                0.98698,                0.99426,                0.87991,                0.98476,                0.98659,                0.99398,                0.77663,                0.48422,                0.73041,                0.34258,                0.91422,               0.009241,               0.009241,               0.009241
                     25,                 0.6442,                0.96679,                 0.4432,                 0.9544,                0.98912,                0.98959,                0.99415,                0.87833,                 0.9873,                0.98834,                 0.9939,                 0.7754,                0.48903,                 0.7125,                0.33766,                0.91737,               0.009208,               0.009208,               0.009208
                     26,                0.64076,                0.97303,                0.43805,                0.95113,                0.98838,                0.99175,                0.99431,                0.88585,                0.98749,                0.98912,                0.99401,                0.78799,                0.46424,                0.67634,                0.31873,                0.90622,               0.009175,               0.009175,               0.009175
                     27,                0.64284,                0.98412,                 0.4396,                0.95388,                0.98892,                0.98828,                0.99439,                 0.8858,                0.98757,                0.98827,                0.99404,                0.77808,                0.46495,                 0.6988,                 0.3226,                0.90373,               0.009142,               0.009142,               0.009142
                     28,                0.63761,                0.97019,                0.43444,                 0.9532,                0.98765,                 0.9864,                0.99397,                 0.8874,                0.98746,                 0.9862,                0.99381,                0.78455,                0.46156,                0.68227,                0.31804,                0.90291,               0.009109,               0.009109,               0.009109
                     29,                0.62879,                0.94375,                0.42926,                0.94808,                0.99161,                0.98811,                0.99417,                0.88765,                0.99135,                0.98756,                0.99405,                0.78894,                0.46384,                0.67738,                 0.3194,                0.90534,               0.009076,               0.009076,               0.009076
